# N Perid_fraq I0 I1 Q0 U0 Q1 U1 X0 Y0 X1 Y1 DPA dt(min)
# First row Period = 87.951939 [M] ; 30.000780 [min] 
87.951939 30.000780
0 0.000000 227.094440 37.510360 0.564919 -0.215131 -0.043707 -0.111746 0.460603 -7.364155 4.253816 3.336902 124.533379 22.747894
6 0.066665 237.824760 32.585927 0.635994 0.085965 0.009868 -0.103162 2.943917 -6.688824 3.045422 4.519177 122.268932 22.678234
12 0.133330 249.137734 28.099917 0.493926 0.380590 0.027807 -0.061225 4.912525 -5.274417 1.441606 5.322347 121.879135 22.652862
18 0.199995 264.789184 25.398406 0.177507 0.544742 -0.006871 0.047842 6.280052 -3.316067 -0.461182 5.583871 122.556925 22.411304
24 0.266660 279.005928 26.829243 -0.212237 0.465422 -0.031205 0.091371 6.914284 -1.005975 -2.532580 5.109226 124.645060 22.175606
30 0.333325 292.753909 29.385122 -0.503682 0.128366 -0.074951 0.063070 6.704142 1.483190 -4.408699 3.798121 126.780011 21.818750
36 0.399990 309.273014 36.194344 -0.542547 -0.335021 -0.103794 -0.006437 5.531366 3.880425 -5.648115 1.759955 127.642088 21.584017
42 0.466655 316.417384 47.129605 -0.359827 -0.631876 -0.065123 -0.113375 3.306258 5.823114 -5.907233 -0.831589 127.600262 21.379025
48 0.533319 310.008812 52.557681 -0.170364 -0.270182 0.083217 -0.147770 0.003320 6.805177 -4.740586 -3.601749 127.254387 19.147252
54 0.599984 273.898486 54.977593 0.134841 0.328040 0.200775 -0.018789 -3.885564 5.981820 -1.916611 -5.530627 127.880273 20.536214
60 0.666649 265.355577 76.105053 -0.099652 0.443640 0.227885 0.138649 -6.474028 3.272270 1.803880 -5.274694 135.694170 21.551260
66 0.733314 253.871122 77.616088 -0.316834 0.158821 0.055135 0.219611 -7.341652 -0.114571 3.942516 -3.750467 135.535985 21.918686
72 0.799979 235.381521 66.722614 -0.250840 -0.185961 -0.103714 0.132472 -6.642190 -3.291767 5.081112 -1.784010 134.291208 22.344335
78 0.866644 223.254182 54.862237 -0.002984 -0.380687 -0.141249 0.009955 -4.765107 -5.721045 5.373848 0.078892 130.632286 22.610152
84 0.933309 220.960314 45.776169 0.310446 -0.391670 -0.106415 -0.079287 -2.232294 -7.085536 5.056126 1.840234 127.486546 22.764284
90 0.999974 227.119102 37.506773 0.564966 -0.215177 -0.043711 -0.111719 0.460411 -7.364140 4.253871 3.336773 124.533427 22.747894
