percent,num_samples,sigma_mean,sigma_std
10,1,0.3705465892950694,0.010379651101289297
20,2,0.3439224109053612,0.006683162173443134
30,3,0.28536850214004517,0.008186537141159031
40,4,0.2261922707160314,0.007418951798877697
50,5,0.17136363685131073,0.0067632808472033006
60,6,0.1448875218629837,0.003923963378654837
70,7,0.1360193540652593,0.006846059000867126
80,8,0.13592677811781564,0.005124700082653313
90,9,0.13322464128335318,0.003289503118430433
100,10,0.13337934017181396,0.008876004530654529
