percent,num_samples,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,error_std_mean,error_std_std
10,1,1.8520165920257567,0.02156565309870455,2.2490448358090362,0.02614638846971298,0.09552245140075684,0.01048679327466329,2.2487444400787355,0.026106345888143843
20,2,1.8400681495666504,0.022560832995582092,2.2781588573952933,0.17012653912561954,0.06257898807525634,0.1581233502651146,2.2761420607566833,0.17040388639374773
30,3,1.6937456130981445,0.013092431356350074,2.104004681760777,0.01876639994274837,0.20840097665786744,0.007205593236558683,2.1030768871307375,0.019222662905347444
40,4,1.6165505409240724,0.027628664748691318,2.025360658538284,0.038983580598932595,0.2663950204849243,0.022374859713369943,2.024894094467163,0.03912117934713227
50,5,1.5133075952529906,0.022419825349954528,1.9380173921527262,0.03791315962545519,0.3283500075340271,0.01881001881904593,1.9357637882232666,0.03676622311049622
60,6,1.4058200597763062,0.022310018847500165,1.822428970684977,0.03276555253057802,0.4059292197227478,0.02113034158774655,1.8214338779449464,0.0329252925125208
70,7,1.294299054145813,0.023760105940527673,1.7132837167868278,0.02580687205496236,0.47512892484664915,0.00868965647513488,1.7113361358642578,0.027251386259058877
80,8,1.190048098564148,0.028703152850258543,1.6118523081092768,0.03598474336359684,0.5352687954902648,0.019216438841773695,1.6096271276474,0.03687535504166715
90,9,1.1351900577545166,0.016390507856125044,1.5537632422264092,0.020899894436591505,0.5682554960250854,0.010038083168117804,1.5511482238769532,0.01735120563879591
100,10,1.0759903192520142,0.02379350715749914,1.4930388680916526,0.033936711945728525,0.6012555718421936,0.016712659098606985,1.49168918132782,0.03234749446526683
