# N Perid_fraq I0 I1 Q0 U0 Q1 U1 X0 Y0 X1 Y1 DPA dt(min)
# First row Period = 263.834693 [M] ; 89.995136 [min] 
263.834693 89.995136
0 0.000000 209.714520 2.700162 -0.005758 -0.026480 0.004670 0.014109 -4.161869 -1.656065 3.500698 -4.046005 109.168829 6.757332
6 0.022223 140.741921 1.517161 0.028540 -0.040624 0.004183 0.007669 -2.964649 -2.773886 3.142182 -4.278969 83.194956 6.527003
12 0.044447 102.132634 4.401981 0.047415 -0.037335 0.005232 0.023835 -1.480517 -3.408436 3.718840 -3.767545 68.105855 6.612379
18 0.066670 92.544404 1.584367 0.065200 -0.031419 -0.000367 0.008550 0.103361 -3.579382 4.168159 -3.252360 50.381494 6.596772
24 0.088894 108.760004 1.551861 0.087781 -0.025260 -0.002070 0.008011 1.632867 -3.346694 4.475181 -2.788771 32.062380 6.704658
30 0.111117 148.193721 2.725988 0.122915 -0.011579 -0.005824 0.012743 2.998000 -2.710120 4.668885 -2.368382 15.215540 6.963211
36 0.133341 216.783800 0.534171 0.163722 0.018488 -0.002175 0.001652 4.101043 -1.744175 5.097656 -1.230469 9.469637 7.115629
42 0.155564 330.776541 1.051798 0.162596 0.067224 -0.000598 0.005738 4.705258 -0.295538 4.271233 -2.997448 328.533791 7.082331
48 0.177787 357.127989 2.703088 0.145011 0.111976 -0.008148 0.010591 5.565189 0.447948 4.845214 -1.736301 335.682789 7.444354
54 0.200011 358.792950 3.172844 0.113429 0.151458 -0.010170 0.008664 6.424218 1.166605 4.825301 -1.219197 335.527539 7.590358
60 0.222234 362.845768 1.665172 0.066885 0.185710 -0.006071 0.006224 7.172217 1.972679 4.973723 -1.449981 328.368484 7.355757
66 0.244458 368.820236 2.624067 0.004329 0.210043 -0.011207 0.000366 7.769506 2.864450 3.137566 1.416780 4.063898 8.026915
72 0.266681 371.489070 1.647410 -0.070019 0.219112 -0.006887 -0.004581 8.223961 3.813819 4.741445 1.913781 357.101122 7.925009
78 0.288905 372.554172 5.894806 -0.149933 0.213880 -0.012239 -0.009272 8.573685 4.794805 1.949386 3.179129 29.268153 8.096358
84 0.311128 367.883686 6.012411 -0.229048 0.190806 -0.012991 -0.009246 8.796764 5.798651 2.588580 2.890539 14.762358 8.022087
90 0.333351 367.981272 13.518736 -0.310709 0.153405 0.002283 0.001315 8.839078 6.823971 0.075977 4.380822 51.337451 7.988252
96 0.355575 364.050603 5.403253 -0.384035 0.101973 -0.008373 0.012179 8.761739 7.844153 -1.274133 3.657681 67.368249 7.846399
102 0.377798 360.251400 7.210402 -0.449842 0.039508 -0.023202 0.014060 8.546498 8.857318 -4.106098 2.472161 102.925936 7.592440
108 0.400022 351.075645 2.260120 -0.498233 -0.030743 -0.009717 0.000771 8.186794 9.837002 -2.723455 2.158309 91.372304 7.198310
114 0.422245 345.077889 2.139668 -0.540399 -0.104656 -0.010093 0.000316 7.700912 10.775322 -5.334338 0.916420 115.804604 6.966891
120 0.444468 335.706089 2.804215 -0.566237 -0.177850 -0.009935 -0.009147 7.065350 11.643962 -3.532639 -0.003421 121.304122 7.015365
126 0.466692 326.460514 4.433791 -0.583652 -0.247424 -0.016215 -0.011147 6.323196 12.449459 -5.332533 -0.739047 124.816919 6.461878
132 0.488915 304.745406 3.793549 -0.570931 -0.297055 -0.009737 -0.016153 5.422991 13.122554 -4.119773 -0.911602 124.930284 6.913038
138 0.511139 242.003982 0.578829 -0.471945 -0.275527 -0.000423 -0.003064 4.162341 13.364742 -4.746094 -2.871094 138.470129 5.741825
144 0.533362 189.045159 2.818222 -0.396492 -0.240841 -0.001576 -0.013981 2.954237 13.503075 -4.673448 -2.848478 133.703273 5.854863
150 0.555586 154.207250 1.103011 -0.366891 -0.216289 -0.000571 -0.005769 1.813981 13.560242 -4.741294 -2.936888 129.394553 5.722089
156 0.577809 134.513637 3.361515 -0.403382 -0.213487 0.003400 -0.017841 0.728331 13.583026 -4.249742 -3.583333 133.206495 5.680752
162 0.600032 126.842416 1.647688 -0.409419 -0.045756 0.004691 -0.008056 -0.322517 13.591374 -3.503276 -4.272419 139.289766 5.517259
168 0.622256 128.769129 2.234229 -0.262781 -0.026801 0.005511 -0.011011 -1.388405 13.564157 -3.730886 -4.145407 132.168293 5.576383
174 0.644479 143.732759 2.117376 -0.191370 -0.032679 0.007693 -0.009339 -2.476962 13.479540 -3.189997 -4.572358 134.685327 5.504045
180 0.666703 174.179956 2.669272 -0.136588 -0.030316 0.011962 -0.009879 -3.630467 13.340891 -2.689769 -4.860890 135.818787 5.559866
186 0.688926 221.477915 2.227222 -0.071352 -0.014906 0.010988 -0.007176 -4.882607 13.158854 -2.406005 -5.036915 134.109961 5.535772
192 0.711150 270.927043 2.762052 0.008360 0.027963 0.014681 -0.007403 -6.120166 12.740974 -2.088516 -5.171177 132.349945 5.605699
198 0.733373 278.499079 2.683335 0.054485 0.090404 0.015537 -0.004802 -7.055566 11.853490 -1.581900 -5.332031 132.713075 5.723348
204 0.755596 287.813604 2.730930 0.071567 0.151994 0.016496 -0.002319 -7.784694 10.811265 -1.113851 -5.449219 132.691638 5.833404
210 0.777820 297.116670 2.131264 0.068549 0.206388 0.013096 0.000287 -8.365120 9.687934 -0.587388 -5.508213 133.103851 6.001199
216 0.800043 308.876879 2.746654 0.046766 0.249357 0.016130 0.002186 -8.731992 8.486834 -0.128672 -5.544582 132.854881 6.162151
222 0.822267 311.300956 2.650610 0.013535 0.268253 0.015551 0.000903 -8.935596 7.261394 0.269066 -5.519854 131.889260 6.343014
228 0.844490 315.764397 2.776713 -0.025222 0.269450 0.016182 0.003583 -8.913922 6.007442 0.755714 -5.449219 131.873173 6.458393
234 0.866714 319.431547 2.158464 -0.062197 0.252162 0.011877 0.004973 -8.694479 4.773909 1.292921 -5.332031 132.400143 6.622862
240 0.888937 318.842041 1.710431 -0.089836 0.216171 0.008555 0.005347 -8.271906 3.592309 1.762436 -5.180334 132.263422 6.745152
246 0.911160 315.594469 2.163863 -0.104929 0.169064 0.010104 0.007799 -7.665205 2.481508 2.055628 -5.037669 130.136652 6.832634
252 0.933384 312.881018 2.219736 -0.106833 0.118565 0.008796 0.009406 -6.903153 1.461031 2.493092 -4.804378 129.375863 6.879160
258 0.955607 314.337669 2.103067 -0.096873 0.069925 0.007902 0.009396 -5.958989 0.589142 2.645014 -4.683352 125.102696 6.834404
264 0.977831 312.830132 1.670069 -0.073843 0.025683 0.003471 0.008664 -4.898825 -0.143322 3.367873 -4.207672 126.998421 6.854918
