# N Perid_fraq I0 I1 Q0 U0 Q1 U1 X0 Y0 X1 Y1 DPA dt(min)
# First row Period = 263.834693 [M] ; 89.995136 [min] 
263.834693 89.995136
0 0.000000 232.624182 7.590133 -0.401399 -0.104346 -0.032713 0.004697 -7.475566 -5.476808 5.462826 -0.362987 139.970923 10.588989
6 0.022223 230.654484 5.649921 -0.334412 -0.233921 -0.024865 -0.003056 -6.457849 -6.391984 5.429067 0.339965 138.876832 10.792091
12 0.044447 227.742242 6.195881 -0.236481 -0.338538 -0.026723 -0.008349 -5.314725 -7.156067 5.362045 0.830918 135.409485 10.908139
18 0.066670 226.444801 6.396949 -0.120285 -0.414835 -0.025578 -0.015018 -4.093474 -7.759872 5.202615 1.450869 133.394817 11.332691
24 0.088894 223.872127 5.254476 0.008898 -0.455969 -0.018223 -0.017172 -2.805233 -8.198296 4.977829 2.056354 131.335186 11.134858
30 0.111117 222.602695 5.003926 0.139210 -0.466128 -0.013077 -0.020568 -1.498218 -8.461679 4.648066 2.717927 130.357373 11.438934
36 0.133341 221.842700 5.241980 0.264652 -0.444440 -0.009324 -0.024161 -0.170746 -8.566853 4.292393 3.227909 128.085226 11.489340
42 0.155564 217.278750 5.718696 0.364735 -0.384420 -0.003610 -0.027990 1.137024 -8.502924 3.784775 3.803262 127.523095 11.592439
48 0.177787 213.988068 5.079945 0.442286 -0.303335 0.001594 -0.024664 2.415650 -8.289221 3.321508 4.229487 125.609464 11.565437
54 0.200011 213.347216 5.106258 0.500386 -0.209479 0.006941 -0.022700 3.633071 -7.930884 2.688263 4.668981 125.455810 11.624131
60 0.222234 210.853404 5.435227 0.527035 -0.103353 0.011860 -0.019823 4.778096 -7.433560 1.966214 5.028878 125.913421 11.519512
66 0.244458 208.556936 5.504895 0.526438 0.004960 0.013759 -0.013942 5.840026 -6.822882 1.202564 5.278825 126.604744 11.392205
72 0.266681 205.416304 5.242220 0.496010 0.108880 0.010496 0.000184 6.794891 -6.086027 0.366914 5.420311 127.977491 11.292643
78 0.288905 205.659272 5.059789 0.449135 0.205226 0.007539 0.015819 7.647098 -5.267307 -0.429542 5.444149 129.070277 11.073488
84 0.311128 204.021698 5.631531 0.375720 0.285248 0.006137 0.027854 8.370514 -4.360271 -1.271234 5.343615 130.897177 10.895346
