percent,num_samples,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,error_std_mean,error_std_std
10,1,1.7748681545257567,0.021790308049009537,2.1733306090427944,0.02522671138997882,0.15538445711135865,0.01091874100079643,2.1731181144714355,0.025285931353099235
20,2,1.7075746715068818,0.017349709892723646,2.112545692961208,0.020901807370713617,0.20277643501758574,0.01150406284519338,2.112231206893921,0.020891012931327682
30,3,1.5095067024230957,0.01510455410537211,1.9216092568088166,0.018443343819084464,0.339687442779541,0.008123680513137629,1.9208642482757567,0.018363475233555537
40,4,1.2154407501220703,0.01760212874350365,1.6257141742497478,0.030564431813324303,0.5272586941719055,0.01726238177936761,1.6249276876449585,0.030718933614345172
50,5,0.9851311683654785,0.009813493548086735,1.3726850327119837,0.018243145359091936,0.6629486680030823,0.011045318682703567,1.3713375329971313,0.01732758627495615
60,6,0.8475810170173645,0.011077939498338988,1.2234897307400587,0.016396435405970203,0.7322919249534607,0.006370570267899793,1.223070788383484,0.016506256464636652
70,7,0.7740054368972779,0.02367181695870204,1.1492250444247296,0.028181905420036034,0.7637550830841064,0.01037156477916669,1.1465887069702148,0.028920972038019212
80,8,0.7337439298629761,0.02219834259801768,1.0938513901333535,0.03315551195393562,0.7857641577720642,0.014923193030063828,1.093292236328125,0.033130457107176256
90,9,0.6943412899971009,0.017056973668538908,1.0463023493608732,0.020275740692290954,0.8041112303733826,0.009266339676622194,1.0447082042694091,0.022466098328222384
100,10,0.6843811511993408,0.011079991834358576,1.0484826696943947,0.022915345782779987,0.8032993674278259,0.009687652733245098,1.0444300413131713,0.021156951172444784
