# N Perid_fraq I0 I1 Q0 U0 Q1 U1 X0 Y0 X1 Y1 DPA dt(min)
# First row Period = 158.322579 [M] ; 54.004505 [min] 
158.322579 54.004505
0 0.000000 186.166217 16.249680 -0.183389 0.152187 -0.038808 -0.017576 7.104387 0.803632 -4.270122 -0.535609 180.695640 9.431041
6 0.037034 191.998478 19.571484 -0.285656 0.048414 -0.035619 -0.036661 6.918816 2.080825 -4.224483 -1.244587 179.677062 8.865701
12 0.074068 200.332939 23.746777 -0.353248 -0.100784 -0.022474 -0.061088 6.409479 3.380271 -4.043103 -2.057399 179.163460 7.929063
18 0.111102 210.033877 27.711314 -0.360877 -0.279184 0.007827 -0.082512 5.498758 4.657475 -3.658943 -2.954676 178.656864 7.076838
24 0.148136 223.819566 33.602494 -0.307008 -0.447413 0.058746 -0.096178 4.138510 5.796034 -3.014385 -3.870187 177.613697 6.308902
30 0.185170 237.716535 41.117029 -0.264952 -0.540313 0.135028 -0.079748 2.322820 6.602991 -1.989742 -4.749683 176.651167 5.572843
36 0.222204 252.207030 45.700014 -0.207669 -0.351828 0.182617 -0.022079 0.185730 6.869425 -0.610421 -5.380362 175.076001 5.092899
42 0.259238 259.155157 47.829113 0.090260 0.037084 0.175349 0.053536 -1.972574 6.478240 1.084022 -5.581129 174.056604 5.004558
48 0.296272 261.332640 45.807256 0.234110 0.295611 0.125191 0.124106 -3.845774 5.521707 2.753695 -5.236692 172.880929 5.241374
54 0.333306 261.464019 41.111044 0.145342 0.444420 0.048824 0.158408 -5.248181 4.216084 4.176207 -4.452281 171.943782 5.802865
60 0.370339 258.007879 34.746422 -0.009487 0.468574 -0.024351 0.141303 -6.168980 2.738802 5.221442 -3.382873 171.001035 6.502021
66 0.407373 255.075936 29.430017 -0.153191 0.401420 -0.072266 0.101679 -6.622127 1.230355 5.897532 -2.187003 170.178750 7.229551
72 0.444407 248.871015 24.287477 -0.250536 0.271554 -0.091671 0.053549 -6.657621 -0.243343 6.234374 -0.945045 169.287091 7.926643
78 0.481441 241.041473 20.213166 -0.285568 0.114407 -0.091066 0.012389 -6.297633 -1.628934 6.278248 0.265506 167.919410 8.705305
84 0.518475 231.100535 18.302944 -0.255683 -0.035124 -0.084422 -0.020872 -5.600334 -2.855264 6.048512 1.451755 166.482510 9.202358
90 0.555509 219.158724 16.640921 -0.174827 -0.150322 -0.066277 -0.047898 -4.617733 -3.874808 5.508547 2.644076 165.640272 9.829610
96 0.592543 208.701702 15.104179 -0.067349 -0.219701 -0.042671 -0.061256 -3.422229 -4.667874 4.736315 3.630451 163.717484 10.169738
102 0.629577 199.244642 13.732840 0.046233 -0.241034 -0.016239 -0.062053 -2.081368 -5.200413 3.543508 4.521855 163.729149 10.488181
108 0.666611 190.888659 14.928732 0.147226 -0.221045 0.000980 -0.058583 -0.687659 -5.465870 2.063664 5.041108 164.908099 10.793037
114 0.703645 186.828578 15.076037 0.227311 -0.173924 0.018366 -0.017349 0.719719 -5.487651 0.365185 5.069590 168.408008 10.845412
120 0.740679 182.618638 14.518588 0.270891 -0.105709 0.021643 0.031787 2.062614 -5.266540 -1.157173 4.602282 172.726041 10.888989
126 0.777713 179.351900 12.351895 0.284476 -0.025656 0.005790 0.045343 3.307923 -4.838444 -2.297719 3.870643 176.335082 11.027832
132 0.814747 178.425468 12.352294 0.270438 0.057806 -0.013113 0.043203 4.411585 -4.227512 -3.089403 3.023815 179.394078 10.837219
138 0.851781 177.996225 10.942345 0.223121 0.133466 -0.022690 0.029601 5.357295 -3.458923 -3.597381 2.227944 181.077286 10.637063
144 0.888815 178.177016 12.039818 0.146111 0.189536 -0.031246 0.021206 6.114020 -2.551922 -3.909539 1.518411 181.429614 10.681276
150 0.925849 179.925067 13.128739 0.046214 0.217246 -0.036683 0.010269 6.672229 -1.525029 -4.117755 0.836411 181.392697 10.565499
156 0.962883 183.780534 13.988665 -0.068316 0.208586 -0.037852 -0.002041 7.007178 -0.402742 -4.235519 0.178703 180.873522 9.898531
162 0.999917 186.478751 16.268980 -0.183498 0.152591 -0.038868 -0.017595 7.103888 0.801085 -4.270251 -0.535328 180.711556 9.431041
