# N Perid_fraq I0 I1 Q0 U0 Q1 U1 X0 Y0 X1 Y1 DPA dt(min)
# First row Period = 158.322579 [M] ; 54.004505 [min] 
158.322579 54.004505
0 0.000000 187.659334 15.558786 -0.197899 0.093611 -0.032803 -0.029070 6.708457 1.644367 -4.113673 -1.099369 181.189777 7.578366
6 0.037034 192.588518 17.136238 -0.278025 -0.013564 -0.022690 -0.044516 6.413180 2.859181 -3.972964 -1.813515 180.506299 6.888285
12 0.074068 198.379473 20.868201 -0.319718 -0.151484 -0.005644 -0.064788 5.793310 4.064634 -3.702982 -2.567046 179.677330 6.397079
18 0.111102 206.268617 24.585475 -0.313774 -0.298530 0.025485 -0.079916 4.812589 5.187454 -3.253757 -3.356572 178.744285 5.806772
24 0.148136 216.117148 27.873223 -0.272925 -0.420901 0.069389 -0.079322 3.451168 6.125615 -2.571007 -4.146192 177.594299 5.266175
30 0.185170 228.766076 32.505476 -0.292057 -0.475183 0.123755 -0.057597 1.753364 6.720611 -1.641110 -4.837782 175.883802 4.895051
36 0.222204 237.725363 36.013978 -0.225859 -0.281120 0.154416 -0.010555 -0.137852 6.863970 -0.362905 -5.344468 174.964872 4.630106
42 0.259238 244.560950 36.391013 0.085632 0.032498 0.141963 0.042054 -2.046755 6.472703 1.049225 -5.499604 173.253545 4.637012
48 0.296272 251.255939 35.603056 0.219103 0.242490 0.110637 0.095756 -3.716842 5.618862 2.496997 -5.257571 171.920230 4.946559
54 0.333306 253.340909 32.807785 0.165435 0.392875 0.056094 0.129280 -5.024253 4.433398 3.818818 -4.618605 171.010256 5.383213
60 0.370339 256.409286 27.339517 0.034482 0.450014 -0.002164 0.120364 -5.907296 3.063757 4.861257 -3.733720 169.886741 5.983883
66 0.407373 256.842281 23.974853 -0.108256 0.410535 -0.046137 0.097433 -6.349601 1.620605 5.613122 -2.657132 168.986019 6.622799
72 0.444407 254.243693 21.453909 -0.215050 0.297985 -0.074635 0.064868 -6.382703 0.201574 6.072421 -1.490946 168.014073 7.327426
78 0.481441 247.967942 18.132813 -0.260388 0.145178 -0.081561 0.027915 -6.028332 -1.146123 6.234700 -0.324072 166.259762 7.984987
84 0.518475 240.660787 16.241383 -0.239406 -0.005493 -0.079768 -0.005710 -5.334968 -2.331563 6.137028 0.923409 164.949853 8.534316
90 0.555509 229.352117 15.341780 -0.161543 -0.124997 -0.069849 -0.034601 -4.357887 -3.314704 5.729556 2.138668 163.211659 9.100892
96 0.592543 219.806853 14.338803 -0.054306 -0.197410 -0.048066 -0.055269 -3.172038 -4.062958 4.950126 3.318422 161.816682 9.477541
102 0.629577 211.570258 15.134660 0.060243 -0.220336 -0.024902 -0.069172 -1.855306 -4.552567 3.785698 4.292533 160.762430 9.793304
108 0.666611 202.381562 15.194875 0.161721 -0.198037 0.001937 -0.055310 -0.484630 -4.785617 1.966125 4.946658 164.106406 9.997001
114 0.703645 196.475703 17.637054 0.236125 -0.146483 0.023306 -0.004934 0.877060 -4.766748 -0.007587 4.879320 169.663537 10.087531
120 0.740679 192.288272 16.026516 0.272262 -0.076892 0.018388 0.045201 2.178533 -4.515536 -1.586159 4.251902 174.702754 10.096303
126 0.777713 187.604227 13.086228 0.273116 0.000850 -0.007161 0.048355 3.372930 -4.054062 -2.777799 3.252419 180.739656 9.884555
132 0.814747 185.196835 11.456600 0.245700 0.076554 -0.022520 0.034441 4.429111 -3.413378 -3.428502 2.342619 183.276397 9.699548
138 0.851781 183.084558 11.393857 0.188313 0.138794 -0.030458 0.022841 5.308362 -2.622628 -3.780011 1.587311 183.513338 9.467685
144 0.888815 183.247742 11.826561 0.107115 0.179834 -0.035058 0.010107 5.997204 -1.696366 -3.997739 0.832715 184.027801 9.023606
150 0.925849 183.934267 11.476371 0.008513 0.189963 -0.033349 -0.000604 6.476711 -0.668272 -4.107536 0.241073 182.532119 8.686067
156 0.962883 184.915879 12.488523 -0.097551 0.161862 -0.032830 -0.012874 6.721475 0.456566 -4.145051 -0.438025 182.146372 8.048371
162 0.999917 187.303882 15.558865 -0.197232 0.093642 -0.032807 -0.029070 6.708360 1.641651 -4.113689 -1.099228 181.209580 7.578366
