# N Perid_fraq I0 I1 Q0 U0 Q1 U1 X0 Y0 X1 Y1 DPA dt(min)
# First row Period = 87.946426 [M] ; 29.998900 [min] 
87.946426 29.998900
0 0.000000 268.082126 16.203569 0.578412 -0.086514 -0.064040 -0.018433 1.397971 -4.868040 5.032504 0.688594 81.768713 7.348534
6 0.066669 264.883143 15.267380 0.509680 0.189715 -0.033596 -0.058165 3.253802 -3.948595 4.392970 2.569437 80.833352 7.379400
12 0.133338 262.607039 14.034858 0.271391 0.364310 0.007869 -0.060099 4.608038 -2.441703 3.105550 4.063295 80.527727 7.317048
18 0.200007 258.824312 14.811555 -0.037552 0.349780 0.027426 -0.030166 5.304685 -0.544740 1.250514 5.024375 81.886825 7.211544
24 0.266676 256.208869 12.962996 -0.288277 0.151886 0.006780 0.051067 5.237886 1.504136 -1.062567 5.161027 85.611465 7.063137
30 0.333346 253.317192 12.673511 -0.387968 -0.135220 -0.027137 0.058483 4.383075 3.418940 -3.191414 4.284492 88.726157 6.841120
36 0.400015 248.940181 12.971515 -0.356007 -0.360992 -0.057760 0.018290 2.814446 4.899080 -4.861582 2.378869 93.803276 6.649239
42 0.466684 243.198055 14.201186 -0.402804 -0.328857 -0.052163 -0.036286 0.671157 5.676598 -5.458192 0.075316 95.952347 6.481101
48 0.533353 243.871105 16.064239 -0.107132 0.012085 0.001952 -0.078428 -1.760817 5.445058 -4.888674 -2.420193 98.418111 6.404893
54 0.600022 264.663051 16.160998 0.093027 0.267062 0.067287 -0.058027 -3.998448 4.072352 -3.335993 -4.268758 97.517354 6.394450
60 0.666691 284.069535 17.606819 -0.062439 0.334268 0.102474 -0.001229 -5.282910 1.848989 -1.250444 -5.208010 95.788600 6.531032
66 0.733360 288.516738 17.968973 -0.217637 0.122581 0.087354 0.040279 -5.411216 -0.607802 0.988498 -5.199677 94.355168 6.737996
72 0.800029 282.297217 17.841542 -0.154460 -0.184675 0.040598 0.077302 -4.481881 -2.775925 2.862486 -4.345547 91.600907 6.896561
78 0.866698 276.823367 18.225241 0.113028 -0.371002 -0.020096 0.076954 -2.797109 -4.320693 4.217755 -2.928448 88.145207 7.117642
84 0.933368 272.386309 16.576511 0.426324 -0.324201 -0.058737 0.032711 -0.726204 -5.024029 4.962581 -1.156431 85.107373 7.243305
