# N Perid_fraq I0 I1 Q0 U0 Q1 U1 X0 Y0 X1 Y1 DPA dt(min)
# First row Period = 87.946426 [M] ; 29.998900 [min] 
87.946426 29.998900
0 0.000000 235.581059 26.732942 0.583239 -0.172166 -0.051906 -0.082813 0.966488 -6.411299 4.527075 2.718086 112.408224 10.136547
6 0.066669 237.678454 24.924762 0.591361 0.135824 0.001656 -0.091788 3.229790 -5.604089 3.303863 4.154045 111.547470 10.081836
12 0.133338 242.184705 22.760516 0.392966 0.392593 0.029587 -0.057203 5.009662 -4.081064 1.596246 5.110487 111.821542 9.902330
18 0.200007 244.646299 22.997294 0.055564 0.465907 0.004241 0.047263 6.122735 -2.038596 -0.397365 5.407052 112.618561 9.556272
24 0.266676 250.452801 24.006061 -0.281548 0.305843 -0.026054 0.096104 6.443304 0.324512 -2.487064 4.889002 114.079483 9.253910
30 0.333346 257.541849 25.262634 -0.466071 -0.044519 -0.076567 0.062910 5.835146 2.728242 -4.322357 3.488363 116.036101 8.709616
36 0.400015 262.828053 29.765775 -0.411360 -0.406919 -0.103384 -0.015424 4.238457 4.851708 -5.451431 1.343448 117.296418 8.596756
42 0.466684 266.009097 33.529794 -0.346579 -0.506158 -0.048515 -0.108476 1.716679 6.240401 -5.498783 -1.219262 117.883203 8.215447
48 0.533353 268.324413 37.493655 -0.098308 -0.066531 0.075131 -0.132349 -1.339559 6.373069 -4.346253 -3.569694 117.526947 8.027160
54 0.600022 260.851359 41.379420 0.134151 0.321885 0.184334 -0.036169 -4.220080 5.041079 -2.101419 -5.160791 117.910386 8.233813
60 0.666691 252.468231 43.257620 -0.078576 0.392298 0.187079 0.059310 -6.118316 2.521864 0.523897 -5.472095 117.869421 8.530589
66 0.733360 245.243584 40.776859 -0.273594 0.152665 0.093603 0.134813 -6.603888 -0.474392 2.875057 -4.589412 117.956462 8.983900
72 0.800029 239.552607 37.430311 -0.229088 -0.180635 -0.026682 0.129458 -5.741411 -3.242238 4.438006 -2.986399 116.608921 9.555370
78 0.866698 235.234806 33.694238 0.025504 -0.387705 -0.095734 0.052138 -3.893963 -5.268590 5.202738 -1.023993 115.333214 9.860311
84 0.933368 232.423203 30.761023 0.353251 -0.380667 -0.098616 -0.031157 -1.525919 -6.329244 5.197396 0.902842 113.409318 10.194969
