target,seed,mae,rmse,r2,error_mean,error_std
theta,42,0.08860974758863449,0.13071325314186166,0.8116068243980408,0.008149045519530773,0.1304589807987213
theta,43,0.08461907505989075,0.12756893748590648,0.82135009765625,0.0009444448514841497,0.1275654435157776
theta,44,0.08950213342905045,0.13091104113793914,0.8117358684539795,-0.0031132125295698643,0.13087400794029236
theta,45,0.08658233284950256,0.12772159541651706,0.8184655904769897,0.006770907435566187,0.12754198908805847
theta,46,0.08746201545000076,0.12996731067437417,0.8133203983306885,0.01989489234983921,0.12843556702136993
